Area,0-2 years,3-6 years,7-12 years,13-15 years,16-17 years,18-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85 years or over
Sauvo,0.023714095,0.040748164,0.07314629,0.039078157,0.023046093,0.017702071,0.024048096,0.036740147,0.042752173,0.056780227,0.06513026,0.06513026,0.08784235,0.07748831,0.0744823,0.08917835,0.07247829,0.034402136,0.026720107,0.029392118
Somero,0.021069326,0.035342094,0.05890349,0.03590847,0.021409152,0.019143634,0.036474854,0.034775715,0.041458994,0.04712279,0.05210693,0.054485727,0.07464884,0.0724966,0.07963298,0.08948799,0.0753285,0.0574309,0.045536928,0.047236066
Taivassalo,0.021058965,0.039711192,0.05956679,0.027075812,0.015643803,0.006016847,0.023465704,0.034897715,0.04993983,0.056558363,0.048134778,0.04753309,0.07039711,0.086040914,0.09326113,0.08483755,0.096269555,0.042719614,0.04452467,0.05234657
Turku,0.02637837,0.035812285,0.050284587,0.023336522,0.016008906,0.022191908,0.102435045,0.098698065,0.07649048,0.066000804,0.058035553,0.050169602,0.057502445,0.055636566,0.055066872,0.057502445,0.05758084,0.035456877,0.026509034,0.028902791
Uusikaupunki,0.021464968,0.036942676,0.0577707,0.028917197,0.016305732,0.017579617,0.045541402,0.060955413,0.054713376,0.052356686,0.058280256,0.05356688,0.067133754,0.075987265,0.07656051,0.080700636,0.07980892,0.04847134,0.03598726,0.030955413
Vehmaa,0.022757111,0.040262584,0.059080962,0.026695842,0.019256018,0.023632385,0.036323853,0.0512035,0.04157549,0.05426696,0.057330415,0.06652079,0.064332604,0.077461705,0.079212256,0.08665208,0.06827133,0.047702406,0.031509846,0.04595186
MK04 Satakunta,0.024567293,0.03922259,0.06300772,0.031382646,0.0205101,0.020898895,0.050122585,0.052185487,0.05388704,0.057020273,0.0566269,0.05538276,0.06747658,0.06974989,0.072302215,0.07744804,0.07164355,0.046381,0.03646443,0.033719994
Eura,0.026898196,0.040347293,0.068522304,0.03719782,0.020769492,0.01847123,0.039155602,0.042390194,0.052093975,0.054988082,0.05481784,0.05983997,0.06656452,0.07201226,0.07099081,0.07941777,0.07507661,0.04613551,0.036857337,0.037453182
Eurajoki,0.027818913,0.04580072,0.07943728,0.035434738,0.02104929,0.02020309,0.03469431,0.039348423,0.05119526,0.06769621,0.06727311,0.05955151,0.068753965,0.06515761,0.06462873,0.0810239,0.0716099,0.043579437,0.029299768,0.026443833
Harjavalta,0.022228556,0.039612424,0.05813622,0.031632945,0.02108863,0.021658592,0.033342835,0.043887146,0.049159303,0.054288972,0.056568824,0.051439155,0.06583072,0.0676831,0.07480764,0.09019664,0.08335708,0.057708748,0.038899973,0.0384725
Honkajoki,0.022208884,0.045018006,0.05462185,0.024609843,0.018607443,0.017406963,0.028211284,0.045018006,0.047418967,0.05102041,0.051620647,0.04021609,0.07082833,0.0972389,0.103241295,0.08643457,0.075630255,0.046818726,0.039015606,0.034813926
Huittinen,0.024576355,0.03755822,0.062233675,0.030918641,0.020909721,0.020513328,0.0387474,0.04746804,0.05153107,0.055594094,0.050738283,0.053909425,0.07016153,0.07353087,0.07699931,0.07997225,0.07541373,0.050639182,0.041323952,0.037260927
Jamijarvi,0.01768933,0.046987284,0.05859591,0.032614704,0.02045329,0.024875622,0.039248202,0.03758983,0.04090658,0.04532891,0.0525152,0.0525152,0.06744058,0.07628524,0.08457711,0.102266446,0.071862906,0.046987284,0.037037037,0.044223327
Kankaanpaa,0.025891379,0.04044983,0.06032604,0.030075843,0.021619737,0.023276087,0.046203468,0.05169558,0.05239299,0.05169558,0.049690522,0.05169558,0.06860779,0.081248365,0.08351495,0.08290472,0.06913085,0.043413825,0.037049953,0.029116904
Karvia,0.022594143,0.035983264,0.043514643,0.029707113,0.020502092,0.018410042,0.035146445,0.037656903,0.043514643,0.050627615,0.049372386,0.048535563,0.06485356,0.077824265,0.09288703,0.10209205,0.076150626,0.056066945,0.045188285,0.049372386
Kokemaki,0.023387766,0.030999169,0.057708275,0.030999169,0.020343205,0.01632992,0.039717685,0.04386936,0.04608359,0.044422917,0.05563244,0.057985052,0.072792694,0.08012732,0.080404095,0.0828951,0.08303349,0.049820095,0.043315805,0.040132854
Merikarvia,0.02375602,0.04141252,0.05104334,0.031460673,0.01894061,0.012520065,0.029213483,0.030497592,0.035955057,0.044301767,0.055858746,0.0423756,0.06452648,0.085072234,0.09117175,0.09277689,0.08571429,0.05682183,0.048796147,0.05778491
Nakkila,0.019128196,0.042118814,0.06970756,0.037336767,0.025013795,0.022806695,0.035865366,0.043222364,0.04524554,0.055545337,0.059775613,0.062718414,0.06915578,0.06658083,0.07154681,0.07540923,0.077616334,0.052602537,0.034026116,0.03457789
Pomarkku,0.023765145,0.041006524,0.0666356,0.032618824,0.027027028,0.022833178,0.02469711,0.029356943,0.041472506,0.05172414,0.050326187,0.055452004,0.06197577,0.07735322,0.08807083,0.08247903,0.07735322,0.05312209,0.04799627,0.04473439
Pori,0.024631826,0.03828063,0.061478857,0.030176653,0.019774178,0.021800173,0.06215419,0.06042439,0.058647204,0.058433942,0.055460114,0.05463076,0.06646683,0.066075854,0.06797152,0.07253297,0.06875348,0.04523536,0.034785494,0.032285582
Rauma,0.024796749,0.038643293,0.06272866,0.029827235,0.018978659,0.021214431,0.055462398,0.057190042,0.05645325,0.05988313,0.061814025,0.055843495,0.066006094,0.068368904,0.06999492,0.0749746,0.06714939,0.043191057,0.03467988,0.032799795
Siikainen,0.016460905,0.03429355,0.049382716,0.03223594,0.021947874,0.017832648,0.029492455,0.021262003,0.03155007,0.03840878,0.041152265,0.061728396,0.08573388,0.07201646,0.09465021,0.10699589,0.07887517,0.05898491,0.062414266,0.04458162
Sakyla,0.021876376,0.033622082,0.058581706,0.030392013,0.020261342,0.019380415,0.037439436,0.040375862,0.045074146,0.048157394,0.049478784,0.05696667,0.07752166,0.07752166,0.08427544,0.08280722,0.084862724,0.05006607,0.04022904,0.041109968
Ulvila,0.026265264,0.04607941,0.07395745,0.03601874,0.025420474,0.01950695,0.035327546,0.04293065,0.050456952,0.0623608,0.06159281,0.058981646,0.066891946,0.067506336,0.06973351,0.07687581,0.071653485,0.045541815,0.03747792,0.025420474
MK05 Kanta-Hame,0.024369178,0.039652437,0.068573326,0.034388788,0.021830723,0.02191242,0.04645083,0.050063025,0.053430125,0.05898555,0.06152984,0.059318177,0.06978712,0.07173619,0.07149109,0.07343433,0.06829906,0.042185057,0.031745292,0.030817442
Forssa,0.020436928,0.030185577,0.055731736,0.028599953,0.019556025,0.023138361,0.04721635,0.050211415,0.04927179,0.0554381,0.054263566,0.04997651,0.065069295,0.069767445,0.08116044,0.08268734,0.08650458,0.051385954,0.041754756,0.03764388
Hattula,0.0283905,0.04506596,0.07873351,0.038311347,0.02353562,0.024274407,0.03292876,0.04137203,0.053614777,0.06469657,0.06617414,0.06269129,0.0707124,0.07282322,0.074934036,0.06817942,0.06543536,0.039472297,0.02596306,0.022691293
Hausjarvi,0.02352382,0.05096828,0.08423429,0.04003802,0.023880241,0.019009149,0.028038494,0.029226566,0.048948556,0.068789355,0.07128431,0.06831413,0.079125576,0.083640255,0.0744921,0.06605679,0.060829274,0.032196745,0.023286207,0.024117857
Humppila,0.019686801,0.034899328,0.06800895,0.03624161,0.022818793,0.017449664,0.03668904,0.029530201,0.03982103,0.062192395,0.06308725,0.04787472,0.069798656,0.08456376,0.08903803,0.101118565,0.06621924,0.038926173,0.029530201,0.042505592
Hameenlinna,0.024862288,0.039507195,0.06391044,0.03176272,0.019901676,0.022152461,0.053559795,0.05727655,0.057780016,0.057854053,0.059379257,0.056121543,0.066709116,0.06841201,0.067849316,0.07261743,0.06987798,0.044734348,0.032399453,0.033332348
Janakkala,0.026022984,0.042135343,0.07393446,0.03757524,0.02450295,0.021098072,0.036906425,0.04420259,0.051985163,0.058247704,0.06335502,0.06791512,0.07369125,0.07265763,0.068583935,0.07204961,0.06359822,0.04377698,0.031555906,0.026205387
Jokioinen,0.02001925,0.038306065,0.07083734,0.040615976,0.027333975,0.021174205,0.034071222,0.035803657,0.041193455,0.05274302,0.06737247,0.06448508,0.07641964,0.0746872,0.078537054,0.08681425,0.066987485,0.036766123,0.032723773,0.03310876
Loppi,0.023533901,0.04108892,0.08052411,0.04515965,0.025060425,0.020226434,0.025187636,0.030530468,0.042106602,0.05889836,0.0680575,0.062460247,0.080778524,0.07721664,0.071619384,0.07619896,0.06869355,0.043505915,0.034219567,0.024933215
Riihimaki,0.025542874,0.040993877,0.07210468,0.03459076,0.022376115,0.022515312,0.055818487,0.05835885,0.057280067,0.0626392,0.064483576,0.060516424,0.0701211,0.06879872,0.06904232,0.06604955,0.059820436,0.03514755,0.027178451,0.026621658
Tammela,0.023186976,0.034040455,0.07284986,0.037329387,0.025324782,0.020884722,0.03601381,0.035520475,0.041276105,0.04982733,0.054102942,0.07120539,0.06972537,0.08945897,0.080085516,0.07992107,0.0684098,0.039960533,0.034862686,0.03601381
Ypaja,0.019516334,0.033517182,0.062367417,0.03182011,0.021213407,0.019516334,0.044123888,0.044972423,0.04624523,0.05430632,0.05642766,0.05642766,0.07254985,0.08103521,0.07679253,0.09546033,0.06915571,0.040305473,0.034789987,0.039456937
MK06 Pirkanmaa,0.027674507,0.043671556,0.06716819,0.031747542,0.02039818,0.021551365,0.06444442,0.068917386,0.06690805,0.067003176,0.06361351,0.057010844,0.06306992,0.06238849,0.061107174,0.06266611,0.0587115,0.037035886,0.02775022,0.02716198
Akaa,0.022816205,0.04599362,0.07958581,0.040876526,0.02474264,0.018662332,0.03431461,0.037806273,0.051291313,0.06796701,0.07422792,0.06628138,0.07248209,0.06393354,0.07049546,0.07169948,0.06303052,0.037264463,0.026849678,0.029679129
Hameenkyro,0.028449096,0.048810657,0.071836345,0.03815414,0.026926737,0.021693625,0.03244529,0.04100856,0.05280685,0.06336822,0.058039963,0.06850618,0.07240723,0.076117985,0.06841104,0.07069457,0.06184586,0.039295908,0.030161751,0.029019982
Ikaalinen,0.023132943,0.038554907,0.06168785,0.030129945,0.01727831,0.021419391,0.03555619,0.043838356,0.04255319,0.05240611,0.054833643,0.050978154,0.07254034,0.06739969,0.079965726,0.09424532,0.0845352,0.053976867,0.03741254,0.037555333
Juupajoki,0.01910828,0.04511677,0.062632695,0.040339705,0.021231422,0.012738854,0.028131634,0.033970278,0.0477707,0.05254777,0.057855625,0.04883227,0.06528662,0.07324841,0.083864115,0.10031847,0.07059448,0.05414013,0.041932058,0.040339705
Kangasala,0.03156964,0.051805783,0.08444879,0.041166812,0.024498044,0.020772824,0.038483396,0.045775983,0.055025887,0.06787473,0.07475691,0.06964263,0.06954792,0.066075265,0.05925622,0.06020331,0.055373155,0.036715493,0.025539842,0.021467358
Kihnio,0.014136125,0.042408377,0.054973822,0.029319372,0.021989528,0.013612566,0.02827225,0.032460734,0.043979056,0.053403143,0.043455496,0.043979056,0.071204185,0.09057592,0.108376965,0.08900524,0.07643979,0.05549738,0.039267015,0.04764398
